Unix Timestamp,Left Value,Right Value
1733842816.3783243,0.0,
1733842816.586774,,0.2
1733842816.79007,0.39,
1733842816.9917195,,0.58
1733842817.193025,0.75,
1733842817.396114,,0.9
1733842817.5975213,1.03,
1733842817.7993274,,1.14
1733842818.000148,1.22,
1733842818.2033436,,1.27
1733842818.4044318,1.3,
1733842818.609698,,1.3
1733842818.8120425,1.27,
1733842819.0130904,,1.22
1733842819.2141154,1.15,
1733842819.4154322,,1.07
1733842819.6174147,0.97,
1733842819.8193715,,0.86
1733842820.0233207,0.75,
1733842820.2255964,,0.64
1733842820.4266498,0.53,
1733842820.647964,,0.43
1733842820.8498805,0.33,
1733842821.0552144,,0.25
1733842821.2676804,0.18,
1733842821.482586,,0.12
1733842821.6839461,0.07,
1733842821.8898017,,0.04
1733842822.0924659,0.02,
