Unix Timestamp,Value
1733841298.2496328,0.0
1733841298.4555328,0.2
1733841298.656832,0.39
1733841298.8648503,0.58
1733841299.0664794,0.75
1733841299.268771,0.9
1733841299.4701486,1.03
1733841299.670978,1.14
1733841299.872468,1.22
1733841300.0736496,1.27
1733841300.2742803,1.3
1733841300.4748769,1.3
1733841300.6754582,1.27
1733841300.876436,1.22
1733841301.0775168,1.15
1733841301.278112,1.07
1733841301.4789994,0.97
1733841301.6797645,0.86
1733841301.8806412,0.75
1733841302.0817077,0.64
1733841302.2823658,0.53
1733841302.4832652,0.43
1733841302.6929908,0.33
1733841302.8938274,0.25
1733841303.095298,0.18
1733841303.2964761,0.12
1733841303.4973712,0.07
1733841303.698431,0.04
1733841303.8992412,0.02
1733841304.1021328,0.01
1733841304.3200085,0.0
1733841304.5223815,0.0
1733841304.7238548,-0.0
1733841304.925022,-0.0
1733841305.126653,-0.01
1733841305.328091,-0.02
1733841305.529778,-0.05
1733841305.7312875,-0.08
1733841305.933062,-0.13
1733841306.135121,-0.19
1733841306.337099,-0.26
1733841306.539286,-0.35
1733841306.7549083,-0.44
1733841306.9972873,-0.55
1733841307.2135003,-0.66
1733841307.4299252,-0.77
1733841307.6321468,-0.88
1733841307.8342474,-0.99
1733841308.0359323,-1.08
1733841308.2378554,-1.17
1733841308.440097,-1.23
1733841308.6424797,-1.28
1733841308.8449345,-1.3
1733841309.0474424,-1.29
1733841309.2493088,-1.26
1733841309.4514134,-1.21
1733841309.6535845,-1.12
1733841309.8554764,-1.01
1733841310.0577035,-0.88
1733841310.2602735,-0.72
1733841310.4622898,-0.55
1733841310.6641526,-0.36
1733841310.8661954,-0.17
1733841311.0684266,0.03
1733841311.2704713,0.23
1733841311.4724727,0.43
1733841311.6747787,0.61
1733841311.8772128,0.78
1733841312.0806222,0.92
1733841312.3423913,1.05
1733841312.54488,1.15
1733841312.7473187,1.23
1733841312.9492857,1.28
1733841313.1513476,1.3
1733841313.3533323,1.29
1733841313.5553615,1.26
1733841313.7572572,1.21
1733841313.9590607,1.14
1733841314.1613815,1.05
1733841314.3634326,0.95
1733841314.5652316,0.85
1733841314.7671387,0.73
1733841314.9697535,0.62
1733841315.1718614,0.51
1733841315.3746283,0.41
1733841315.5766416,0.32
1733841315.7789376,0.24
1733841315.9807215,0.17
1733841316.1829422,0.11
1733841316.385312,0.07
1733841316.5871854,0.04
1733841316.7891886,0.02
1733841316.991481,0.01
1733841317.1935365,0.0
1733841317.3955154,0.0
1733841317.5976865,-0.0
1733841317.7994566,-0.0
1733841318.001554,-0.01
1733841318.204012,-0.03
1733841318.406046,-0.05
1733841318.6080906,-0.09
1733841318.809956,-0.14
1733841319.0124867,-0.2
1733841319.2740986,-0.28
1733841319.4764607,-0.36
1733841319.6784306,-0.46
1733841319.8806145,-0.57
1733841320.0828168,-0.68
1733841320.2849522,-0.79
1733841320.4868283,-0.9
1733841320.6888938,-1.0
1733841320.890961,-1.1
1733841321.0930493,-1.18
1733841321.2948499,-1.24
1733841321.5166998,-1.28
1733841321.7645855,-1.3
1733841321.967451,-1.29
1733841322.169448,-1.26
1733841322.3714707,-1.19
1733841322.573643,-1.1
1733841322.7829454,-0.99
1733841322.9847786,-0.85
1733841323.1869483,-0.69
1733841323.389094,-0.52
1733841323.591048,-0.33
1733841323.793314,-0.13
1733841323.9954355,0.07
1733841324.1976013,0.27
1733841324.4000866,0.46
1733841324.602012,0.64
1733841324.804256,0.8
1733841325.0068285,0.95
1733841325.208788,1.07
1733841325.4108973,1.17
1733841325.6131206,1.24
1733841325.8150718,1.28
1733841326.0170147,1.3
1733841326.219149,1.29
1733841326.4215834,1.26
1733841326.6236732,1.2
1733841326.8252966,1.13
1733841327.0275075,1.04
1733841327.2296438,0.94
1733841327.432079,0.83
1733841327.6341863,0.71
1733841327.8363235,0.6
1733841328.037963,0.5
1733841328.2400856,0.39
1733841328.442165,0.3
1733841328.6442552,0.22
1733841328.8463867,0.16
1733841329.048379,0.1
1733841329.2502406,0.06
1733841329.4523034,0.03
1733841329.6546252,0.01
1733841329.8567755,0.0
1733841330.0591614,0.0
1733841330.2612157,0.0
1733841330.4633675,-0.0
1733841330.666772,-0.0
1733841330.8741028,-0.01
1733841331.0758197,-0.03
1733841331.277706,-0.06
1733841331.4802823,-0.09
1733841331.6822436,-0.15
1733841331.8842793,-0.21
1733841332.0861988,-0.29
1733841332.2889466,-0.38
1733841332.491013,-0.48
1733841332.6958036,-0.59
1733841332.8982387,-0.7
1733841333.100123,-0.81
1733841333.3023412,-0.92
1733841333.504484,-1.02
1733841333.7067935,-1.11
1733841333.9088664,-1.19
1733841334.110709,-1.25
1733841334.3257158,-1.29
1733841334.573374,-1.3
1733841334.775432,-1.29
1733841334.977412,-1.25
1733841335.1796038,-1.18
1733841335.381535,-1.09
1733841335.5836618,-0.97
1733841335.7857125,-0.83
1733841335.9878247,-0.66
1733841336.1902118,-0.49
1733841336.3921523,-0.3
1733841336.5942395,-0.1
1733841336.796371,0.1
1733841336.9980965,0.3
1733841337.2014742,0.49
1733841337.4317117,0.67
1733841337.6339598,0.83
1733841337.8364325,0.97
1733841338.039009,1.09
1733841338.240895,1.18
1733841338.4434679,1.25
1733841338.6456554,1.29
1733841338.848007,1.3
1733841339.0500903,1.29
1733841339.252542,1.25
1733841339.4552772,1.19
1733841339.6571405,1.11
1733841339.859016,1.02
1733841340.061385,0.92
1733841340.2643046,0.81
1733841340.466341,0.7
1733841340.668454,0.58
1733841340.870177,0.48
1733841341.0720105,0.38
1733841341.273793,0.29
1733841341.4758894,0.21
1733841341.6778922,0.15
1733841341.8799078,0.09
1733841342.081954,0.06
1733841342.2836676,0.03
1733841342.4860024,0.01
1733841342.68811,0.0
1733841342.8913143,0.0
1733841343.0929751,-0.0
1733841343.2949476,-0.0
1733841343.4970355,-0.0
1733841343.699021,-0.01
1733841343.9011726,-0.03
1733841344.1070368,-0.06
1733841344.31028,-0.1
1733841344.5121748,-0.16
1733841344.7141507,-0.22
1733841344.91621,-0.3
1733841345.1184893,-0.4
1733841345.3203447,-0.5
1733841345.5225165,-0.6
1733841345.724313,-0.72
1733841345.9262311,-0.83
1733841346.1283824,-0.94
1733841346.330475,-1.04
1733841346.5323753,-1.13
1733841346.7344205,-1.2
1733841346.9366019,-1.26
1733841347.138327,-1.29
1733841347.340572,-1.3
1733841347.54791,-1.28
1733841347.7846296,-1.24
1733841347.9869735,-1.17
1733841348.1896424,-1.07
1733841348.3915858,-0.95
1733841348.5937533,-0.8
1733841348.795968,-0.64
1733841348.997949,-0.46
1733841349.199767,-0.26
1733841349.402124,-0.07
1733841349.6043446,0.13
1733841349.8061287,0.33
1733841350.0084026,0.52
1733841350.2099907,0.69
1733841350.4117186,0.85
1733841350.6139228,0.99
1733841350.8161936,1.1
1733841351.018072,1.19
1733841351.2199895,1.26
1733841351.422958,1.29
1733841351.6247003,1.3
1733841351.8268967,1.28
1733841352.0290284,1.24
1733841352.2312272,1.18
1733841352.434203,1.1
1733841352.6365032,1.0
1733841352.8387794,0.9
1733841353.0406244,0.79
1733841353.2422497,0.68
1733841353.4441187,0.57
1733841353.646378,0.46
1733841353.8482738,0.36
1733841354.0503116,0.28
1733841354.271643,0.2
1733841354.4736078,0.14
1733841354.676251,0.09
1733841354.8781064,0.05
1733841355.0802188,0.03
1733841355.2824407,0.01
1733841355.4846976,0.0
1733841355.6868093,0.0
1733841355.8890393,-0.0
1733841356.090883,-0.0
1733841356.2929716,-0.01
1733841356.4950209,-0.02
1733841356.6970453,-0.04
1733841356.899646,-0.07
1733841357.1013906,-0.11
1733841357.305721,-0.17
