Unix Timestamp,Value
1733841580.3360887,0.0
1733841580.5400841,0.2
1733841580.7412956,0.39
1733841580.9421957,0.58
1733841581.143495,0.75
1733841581.3447785,0.9
1733841581.5458121,1.03
1733841581.7472005,1.14
1733841581.9480176,1.22
1733841582.1489367,1.27
1733841582.3500009,1.3
1733841582.550994,1.3
1733841582.7568758,1.27
1733841582.95774,1.22
1733841583.1637218,1.15
1733841583.3649707,1.07
1733841583.5666125,0.97
1733841583.768482,0.86
1733841583.9703736,0.75
1733841584.1723635,0.64
1733841584.3775501,0.53
1733841584.5805027,0.43
1733841584.8005993,0.33
1733841585.0015228,0.25
1733841585.2026227,0.18
1733841585.40391,0.12
1733841585.6054003,0.07
1733841585.8063524,0.04
1733841586.0081093,0.02
1733841586.209583,0.01
1733841586.4110453,0.0
1733841586.6118364,0.0
1733841586.8161066,-0.0
1733841587.0203676,-0.0
1733841587.228391,-0.01
1733841587.4307456,-0.02
1733841587.6316357,-0.05
1733841587.841045,-0.08
1733841588.0419483,-0.13
1733841588.2432542,-0.19
1733841588.4445438,-0.26
1733841588.6456742,-0.35
1733841588.8487186,-0.44
1733841589.0499527,-0.55
1733841589.2599018,-0.66
1733841589.4626682,-0.77
1733841589.664832,-0.88
1733841589.8657413,-0.99
1733841590.0678475,-1.08
1733841590.2692177,-1.17
1733841590.4706643,-1.23
1733841590.672193,-1.28
1733841590.8731642,-1.3
1733841591.074097,-1.29
1733841591.276888,-1.26
1733841591.477775,-1.21
1733841591.6788845,-1.12
1733841591.8797581,-1.01
1733841592.0814683,-0.88
1733841592.2831597,-0.72
1733841592.4862065,-0.55
1733841592.7003977,-0.36
1733841592.907741,-0.17
1733841593.1098378,0.03
1733841593.350702,0.23
1733841593.5519896,0.43
1733841593.807391,0.61
1733841594.0716324,0.78
1733841594.2848957,0.92
1733841594.487521,1.05
1733841594.711938,1.15
1733841594.9769647,1.23
1733841595.1791735,1.28
1733841595.3825474,1.3
1733841595.5924985,1.29
1733841595.7994692,1.26
1733841596.0066354,1.21
1733841596.2084875,1.14
1733841596.409778,1.05
1733841596.6115782,0.95
1733841596.812754,0.85
1733841597.0140123,0.73
1733841597.215811,0.62
1733841597.4180996,0.51
1733841597.620265,0.41
1733841597.8224201,0.32
1733841598.0238998,0.24
1733841598.226557,0.17
1733841598.4279478,0.11
1733841598.6296937,0.07
1733841598.830948,0.04
1733841599.032113,0.02
1733841599.2337694,0.01
1733841599.4360697,0.0
1733841599.638368,0.0
1733841599.839758,-0.0
1733841600.048657,-0.0
1733841600.253553,-0.01
1733841600.4547834,-0.03
1733841600.6559036,-0.05
1733841600.8566096,-0.09
1733841601.0581548,-0.14
1733841601.2877235,-0.2
1733841601.503585,-0.28
1733841601.7058687,-0.36
1733841601.9070776,-0.46
1733841602.1088617,-0.57
1733841602.3107374,-0.68
1733841602.5138433,-0.79
1733841602.7406156,-0.9
