Unix Timestamp,Left Value,Right Value
1733842551.9539356,,5.8399999999999997e-05
1733842552.1095984,,3.4099999999999995e-05
1733842552.2153232,,2e-06
1733842552.3173296,,3.54e-05
1733842552.4207275,,1.57e-05
1733842552.522936,,-1.25e-05
1733842552.6283648,,-8.5e-06
1733842552.7320862,,2.5600000000000002e-05
1733842552.835167,,3.74e-05
1733842552.93777,,4.460000000000001e-05
1733842553.0427651,,4.79e-05
1733842553.1494546,,1.05e-05
1733842553.2519658,,-3.3e-06
1733842553.3548234,,1.05e-05
1733842553.457099,,2.89e-05
1733842553.5602953,,9.2e-06
1733842553.6629796,,-5.9e-06
1733842553.7706683,,-8.5e-06
1733842553.8719845,,-4.6e-06
1733842553.9740703,,-2.0300000000000002e-05
1733842554.0802195,,1.64e-05
1733842554.1834617,,3.74e-05
1733842554.2870672,,9.2e-06
1733842554.3899364,,-3.3e-06
1733842554.4923909,,2.16e-05
1733842554.5948014,,2.2300000000000003e-05
1733842554.697789,,3.54e-05
1733842554.7994452,,3.15e-05
1733842554.90256,,-7.2000000000000005e-06
1733842555.0058126,,-1.64e-05
1733842555.1089923,,-2.5999999999999997e-06
1733842555.213195,,5.199999999999999e-06
1733842555.3150373,,3.0799999999999996e-05
1733842555.422543,,3.21e-05
1733842555.5258925,,7.28e-05
1733842555.631431,,4.85e-05
1733842555.631431,,2.36e-05
1733842555.7369442,,4.4000000000000006e-05
1733842555.839824,,2.69e-05
1733842555.9448,,3.21e-05
1733842556.0462546,,6.69e-05
1733842556.1488006,,-2.1e-05
1733842556.2531517,,-8.5e-06
1733842556.357512,,0.0
1733842556.4629092,,3.4099999999999995e-05
1733842556.5668335,,3.35e-05
1733842556.67241,,2.95e-05
1733842556.7749271,,3.9e-06
1733842556.8778598,,-3.3e-06
1733842556.9806993,,-1.05e-05
1733842557.0844681,,-7e-07
1733842557.188125,,5.1200000000000004e-05
1733842557.2947838,,2.69e-05
1733842557.3962524,,4.6e-06
1733842557.4984288,,9.2e-06
1733842557.600971,,-1.31e-05
1733842557.706674,,1.97e-05
1733842557.8092558,,2.16e-05
1733842557.9117756,,-4.6e-06
1733842558.0137584,,3.9e-06
1733842558.1157868,,3.0799999999999996e-05
1733842558.2206838,,1.31e-05
1733842558.3244307,,5.199999999999999e-06
1733842558.4275537,,4.5900000000000004e-05
1733842558.5338674,,5.77e-05
1733842558.6358502,,2.16e-05
1733842558.7391076,,3.35e-05
1733842558.8420515,,4.72e-05
1733842558.9472,,5.1200000000000004e-05
1733842559.0500708,,5.38e-05
1733842559.1525385,,4.07e-05
1733842559.255785,,4.53e-05
1733842559.358203,,2.69e-05
1733842559.4613066,,3.4099999999999995e-05
1733842559.563752,,5.5100000000000004e-05
1733842559.6685507,,1.64e-05
1733842559.7701201,,-2.16e-05
1733842559.873487,,5.199999999999999e-06
1733842559.9820306,,2.89e-05
1733842560.0876815,,1.64e-05
1733842560.1912441,,2.36e-05
1733842560.2929244,,2.5999999999999997e-06
1733842560.3950534,,-8.5e-06
1733842560.5247116,,-2.0300000000000002e-05
1733842560.6314027,,3.28e-05
1733842560.7325876,,5.9e-05
1733842560.834614,,6.1000000000000005e-05
1733842560.9371443,,7.15e-05
1733842561.0408561,,4.460000000000001e-05
1733842561.145784,,2.3e-05
1733842561.250387,,5.1200000000000004e-05
1733842561.3525805,,5.1200000000000004e-05
1733842561.4578438,,3.48e-05
1733842561.5603373,,2.5600000000000002e-05
1733842561.6626763,,7.2000000000000005e-06
1733842561.7659192,,2.1e-05
1733842561.8689165,,5.58e-05
1733842561.8725498,,5.71e-05
1733842561.9791038,,5.58e-05
1733842562.080817,,3.28e-05
1733842562.1843755,,2.82e-05
1733842562.2900786,,3.3e-06
1733842562.392938,,7.2000000000000005e-06
1733842562.4951315,,2.2300000000000003e-05
1733842562.6183994,,4.5900000000000004e-05
1733842562.7251008,,2.1e-05
1733842562.8283758,,2.69e-05
1733842562.933409,,3.8e-05
1733842563.034958,,4.989999999999999e-05
1733842563.1380277,,5.3099999999999996e-05
1733842563.2769573,,3.21e-05
1733842563.380601,,3.6099999999999997e-05
1733842563.4865544,,3.6099999999999997e-05
1733842563.5886025,,1.84e-05
1733842563.6916406,,7e-07
1733842563.7949896,,2.1e-05
1733842563.8991091,,1.9e-05
1733842564.0016437,,-9.2e-06
1733842564.1063526,,2.5999999999999997e-06
1733842564.2230394,,3.8e-05
1733842564.2260633,,5.44e-05
1733842564.3312182,,2.49e-05
1733842564.4335794,,3.8e-05
1733842564.536021,,6.43e-05
1733842564.6405706,,6.3e-05
1733842564.7430828,,3.48e-05
1733842564.8463407,,3.6099999999999997e-05
1733842564.9480252,,4.79e-05
1733842565.0566754,,4.4000000000000006e-05
1733842565.16065,,4.3299999999999995e-05
1733842565.284793,,2.49e-05
1733842565.392963,,2.3e-05
1733842565.4964812,,3.4099999999999995e-05
1733842565.5989304,,3.67e-05
1733842565.7011328,,5.199999999999999e-06
1733842565.8031886,,1.4400000000000001e-05
1733842565.9066908,,1.5100000000000001e-05
1733842566.0099893,,4.460000000000001e-05
1733842566.116372,,6.890000000000001e-05
1733842566.22174,,4.989999999999999e-05
